"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","Response status code 405 if user provides incorrect HTTP method to access a resource","SUCCESS","2020-12-02T03:45:14.533-05:00","0.0","0.38"
"Tags test","Response status code 405 if user provides incorrect HTTP method to access a resource","SUCCESS","2020-12-02T03:45:14.912-05:00","0.0","0.28"
"Tags test","Status code should be 400 if the user tries to accesss an incorrect resource","SUCCESS","2020-12-02T03:44:59.141-05:00","0.0","13.89"
"Defferent test out come","This test fail","FAILURE","2020-12-02T03:44:58.740-05:00","0.0","12.77"
"Tags test","Varify the status code 200 if the user use GET method on a right resource","SUCCESS","2020-12-02T03:45:13.952-05:00","0.0","0.58"
