"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","Status code should be 400 if the user tries to accesss an incorrect resource","SUCCESS","2020-12-02T06:11:30.376-05:00","0.0","6.78"
"Tags test","Varify the status code 200 if the user use GET method on a right resource","SUCCESS","2020-12-02T06:11:37.616-05:00","0.0","1.92"
